customer_id,first_name,last_name,age,gender,country,education_level,marital_status,income_usd,signup_date,tenure_months,has_credit_card,is_active_member,num_products,branch_id
CUST003106,Linda,Hernandez,56,MALE,USA,Master,Single,35300.0,09/28/2016,99,0,0,2,BR002
CUST003787,Anthony,Thomas,20,m,USA,,Single,56800.0,2018/12/31,72,1,1,1,BR020
CUST004330,Daniel,Jackson,41,MALE,USA,PhD,Divorced,37000.0,08-Jan-2015,119,1,1,1,BR019
CUST001256,Steven,Garcia,43,MALE,USA,Master,Married,29000.0,07/28/2022,29,1,1,2,BR005
CUST002252,Mark,Brown,33,F,USA,Bachelor,Single,44500.0,05/05/2018,79,1,1,2,BR006
CUST003707,Anthony,Clark,57,M,USA,Master,Married,87800.0,21-Dec-2014,120,0,0,3,BR019
CUST004939,Betty,Wilson,45,female,USA,Bachelor,Divorced,42700.0,07/28/2024,5,1,1,2,BR001
CUST003529,Jessica,Moore,58,f,USA,Master,Divorced,106400.0,2023/11/21,13,1,1,3,BR007
CUST004288,Barbara,Lopez,35,M,USA,High School,Divorced,41500.0,10/20/2017,86,0,1,2,BR014
CUST000080,Susan,Thomas,52,f,USA,High School,Married,,2017/10/25,86,0,0,1,BR002
CUST001840,Jennifer,Ramirez,55,M,USA,Bachelor,Single,102300.0,21/08/2020,52,1,0,1,BR019
CUST002639,Robert,White,49,Female,USA,,Single,57500.0,2023/10/09,14,1,1,2,BR003
CUST003389,Joseph,Smith,18,female,USA,Master,Married,44700.0,31-Mar-2021,45,0,0,1,BR001
CUST004644,Steven,Sanchez,38,FEMALE,USA,High School,Divorced,30600.0,03-Sep-2020,51,1,1,1,BR002
CUST000229,Patricia,Martinez,29,f,USA,Vocational,Married,41300.0,2016/04/21,104,0,0,3,BR017
CUST002064,Richard,Lewis,41,f,USA,Bachelor,Married,53400.0,2021/07/08,41,0,0,3,BR008
CUST001865,Mary,Brown,29,Female,USA,Vocational,Married,30100.0,09/07/2015,111,0,0,4,BR014
CUST000066,Robert,Johnson,55,Male,USA,Master,Divorced,83800.0,2020-10-21,50,1,1,2,BR001
CUST003957,Jessica,Rodriguez,30,FEMALE,USA,Bachelor,Married,88000.0,2020-07-07,53,1,0,2,BR014
CUST001527,Patricia,Taylor,56,F,USA,High School,Widowed,29800.0,08/14/2019,64,1,0,2,BR010
 cust000034 ,Jessica,Miller,48,Male,USA,Bachelor,Single,18600.0,2020-01-05,59,0,0,1,BR010
CUST004161,Jennifer,Williams,61,FEMALE,USA,,Married,28800.0,2015/02/09,118,1,1,1,BR012
CUST003226,Steven,White,53,O,USA,High School,,39800.0,13-Oct-2024,2,1,1,2,BR005
CUST000682,Barbara,Thomas,41,FEMALE,USA,High School,Married,95100.0,29-Apr-2024,8,1,1,1,BR006
CUST003470,Barbara,White,45,MALE,USA,Master,Married,89900.0,09/05/2021,43,0,0,3,BR013
CUST003680,Linda,Taylor,65,female,USA,Master,Single,55500.0,08/03/2017,93,1,1,2,BR013
CUST004801,Matthew,Martin,46,Female,USA,Master,Married,94300.0,14-Apr-2017,92,1,0,2,BR009
CUST000764,Jennifer,Harris,65,male,USA,Master,Married,,16/03/2020,57,1,0,4,BR001
CUST000466,Linda,Harris,40,Male,USA,High School,Married,70800.0,2015/11/11,109,0,1,2,BR002
CUST001150,Thomas,Anderson,24,Female,USA,High School,Married,50800.0,2020/10/18,50,0,0,1,BR017
CUST002648,Sandra,Garcia,31,F,USA,Vocational,Married,59500.0,03/20/2018,81,1,0,1,BR016
CUST001418,Sarah,Miller,59,F,USA,PhD,Single,45600.0,2022-12-11,24,1,1,2,BR003
CUST000585,Lisa,Jones,26,f,USA,Master,Single,57500.0,28-Aug-2024,4,0,1,1,BR011
 cust002230 ,Richard,Perez,40,MALE,USA,High School,Divorced,95800.0,01/07/2024,11,1,1,1,BR009
CUST003471,Jessica,Miller,38,F,USA,Master,,31400.0,2022/01/21,35,0,1,1,BR012
CUST002237,Daniel,Brown,21,Male,USA,High School,Married,52000.0,13/07/2022,29,0,1,3,BR002
CUST002440,William,Anderson,57,male,USA,Master,Single,67000.0,2017/03/18,93,1,1,1,BR013
CUST001935,Richard,Anderson,39,FEMALE,USA,Vocational,Married,,2024/09/28,3,1,0,1,BR017
CUST000394,Steven,Jackson,39,FEMALE,USA,,Married,61300.0,24/09/2015,111,0,1,1,BR006
CUST000556,Barbara,Williams,56,male,USA,Bachelor,Single,63000.0,2022-08-15,28,1,0,2,BR007
CUST001362,Mary,Martin,57,FEMALE,USA,High School,Divorced,38700.0,03/22/2024,9,1,0,2,BR001
CUST000024,Margaret,Garcia,33,F,USA,Bachelor,Divorced,57900.0,18-Sep-2021,39,1,0,1,BR012
CUST001393,Patricia,Moore,42,F,USA,Bachelor,Divorced,45000.0,2017/08/15,88,1,0,3,BR002
CUST003264,Linda,Hernandez,39,m,USA,Master,Widowed,69300.0,23-Oct-2015,110,1,0,1,BR019
CUST000849,Joseph,Wilson,18,male,USA,,Single,58700.0,10/01/2022,35,1,1,2,BR003
CUST001428,Joseph,Lewis,18,Male,USA,Bachelor,Single,23300.0,06/04/2020,56,0,0,2,BR020
CUST003429,Sandra,Wilson,41,female,USA,,Divorced,79000.0,2017/01/29,95,0,1,2,BR004
CUST003605,Steven,Davis,18,male,USA,PhD,Single,61200.0,2022-03-06,33,1,1,1,BR005
CUST004093,Elizabeth,Lee,33,male,USA,High School,Married,33100.0,02/12/2016,106,1,1,1,BR011
CUST003985,Jessica,Taylor,54,M,USA,High School,Married,74100.0,2019-02-19,70,1,1,1,BR005
CUST000747,Margaret,Johnson,31,MALE,USA,Master,Married,116800.0,04/07/2021,41,0,0,1,BR020
CUST001882,Karen,Johnson,33,M,USA,Master,Married,74500.0,2024/05/24,7,0,0,1,BR013
CUST003821,David,Jones,30,M,USA,,Divorced,78600.0,2024-09-25,3,1,0,1,BR010
CUST001375,Joseph,Harris,19,f,USA,Bachelor,Divorced,27700.0,2021-07-17,41,1,0,2,BR019
CUST001630,David,Jones,42,Female,USA,PhD,Married,41800.0,04/08/2022,32,0,0,1,BR014
CUST003682,Patricia,Clark,44,M,USA,Vocational,Single,37000.0,2021/04/24,44,0,1,1,BR006
CUST004718,Matthew,Clark,29,FEMALE,USA,Master,Divorced,41700.0,15/09/2024,3,1,0,1,BR006
CUST003674,Christopher,Lopez,38,female,USA,Master,Single,43200.0,20-Mar-2023,21,0,1,1,BR017
CUST004373,Margaret,Taylor,52,female,USA,Bachelor,Divorced,107800.0,2024-08-27,4,0,1,1,BR013
CUST004829,Joseph,Brown,63,m,USA,Bachelor,Married,96100.0,05-Nov-2015,109,1,1,4,BR018
CUST002119,Nancy,Smith,51,Female,USA,Master,Married,54300.0,26/06/2024,6,1,0,3,BR011
CUST001500,Barbara,Gonzalez,47,FEMALE,USA,High School,Divorced,36600.0,10/10/2021,38,1,0,2,BR003
